id,network_id,degree,trial_maker_id,origin_id,participant_id,sung_pitch1,sung_pitch2,sung_pitch3,sung_pitch4,sung_pitch5,sung_note_durations,peter_tonalness,peter_mode,peter_estimated_key,peter_estimated_tonic,pter_tonal.clarity,pter_tonal.spike,daniel_tonalness,daniel_mode,daniel_estimated_key,m21_key,m21_mode,m21_confidence,m21_key_full
3275,186,1,imitation_chain,186.0,203.0,48.1022122068565,54.5819229309376,50.6234198107396,42.3907437892418,48.9251747925248,"1.21065759637188,0.567891156462585,1.0956462585034,0.677664399092971,1.091179138322",0.5294093705354233,Minor,C,0,1.2238295409513809,0.1934731959143195,0.5411742019983166,minor,c,A-,major,0.3456855555170003,A- major
5795,186,2,imitation_chain,1618.0,383.0,55.1976025325696,65.7601095975034,61.4947993181656,54.4505086324778,57.7435720129276,"0.788140589569161,0.578253968253968,0.8818820861678,0.579818594104308,1.09988662131519",0.6207111002195143,Minor,A#,10,1.2450065320007866,0.2433355539127089,0.6378949757784713,minor,a#,F#,major,0.570533561447249,F# major
6569,186,3,imitation_chain,2645.0,446.0,52.9373404548093,64.6723940944233,61.54743830076,54.4620863616915,57.8589698289587,"0.751473922902494,0.455215419501134,0.835147392290249,0.844126984126985,1.09972789115646",0.797184933004797,Major,A#,10,1.085243422114238,0.2297317946356733,0.7923328254654788,major,A#,B-,major,0.6388470780462296,B- major
6906,186,4,imitation_chain,2951.0,461.0,53.260824593296,64.2946242020992,61.2027100807647,53.6142320981732,58.0838820848244,"0.785600907029479,0.500997732426304,0.949319727891157,0.94514739229025,1.36417233560091",0.881686103320368,Minor,A#,10,1.4607463775303682,0.2601866486293261,0.8749617654658766,minor,a#,F#,major,0.47797533712099627,F# major
7001,186,5,imitation_chain,3093.0,467.0,55.7711383757465,64.8227128262606,61.0508643508971,54.1790316258321,56.5135174792635,"0.682789115646259,0.581995464852608,1.00755102040816,0.557573696145125,1.21358276643991",0.6205613668871219,Minor,C#,1,1.013491020151504,0.1715656285586017,0.6310798545415051,major,C#,F#,minor,0.6553668990462749,F# minor
7119,186,6,imitation_chain,3136.0,475.0,56.9062469572383,66.3982414002192,62.1792045904417,53.5421763111605,57.0878868127707,"0.625578231292517,0.674807256235827,0.558911564625851,0.554126984126984,1.05260770975057",0.7732177378171984,Major,D,2,1.0945382117306224,0.2092194800614217,0.7906747780190427,major,D,D,major,0.8021983972616193,D major
7168,186,7,imitation_chain,3208.0,476.0,58.5415833649843,65.2914588138929,58.5563282775028,53.0037683896524,58.4306353089335,"0.603219954648526,0.559637188208617,0.55766439909297,0.463582766439909,0.638299319727892",0.4959871808165638,Major,B,11,1.040203628168444,0.2214100530488575,0.4978869304916413,major,B,B-,major,0.2750450674855283,B- major
7360,186,8,imitation_chain,3248.0,485.0,58.4467515999731,65.0493252014085,58.4267320065635,53.3904049847043,58.7531827623049,"0.546190476190476,0.536349206349206,0.50734693877551,0.440612244897959,0.857709750566893",0.5929599084022978,Major,A#,10,1.0390357764054654,0.2151823627232659,0.5909569052362035,major,A#,B-,major,0.5112870480050473,B- major
7538,186,9,imitation_chain,3332.0,500.0,59.35424740957,65.7881385941777,59.1921342656318,53.4291124712723,59.0138245701242,"0.44281179138322,0.444535147392291,0.442698412698413,0.463990929705215,0.754126984126984",0.7140613716709393,Major,B,11,1.0309062970448266,0.2384325380803462,0.7210264320887423,major,B,E,major,0.4675067666733906,E major
7618,186,10,imitation_chain,3410.0,504.0,47.1049630484153,53.7241152355244,46.970191350435,40.503270034583,46.8826434144983,"0.436802721088435,0.49750566893424,0.484285714285715,0.327414965986394,0.882244897959184",0.7140613716709393,Major,B,11,1.0309062970448266,0.2384325380803462,0.7227738476207123,major,B,E,major,0.4675067666733906,E major
7653,186,11,imitation_chain,3431.0,507.0,58.8898037975092,64.2551919726736,55.8899094341031,58.9198066735413,59.5264665109712,"0.546575963718821,0.43249433106576,0.383560090702947,0.384965986394558,0.846031746031746",0.5697687041087973,Minor,G#,8,1.4816104197949675,0.1897010690611615,0.5513778165854598,minor,g#,E,major,0.6388470780462295,E major
487,187,1,imitation_chain,187.0,31.0,60.7613825016701,53.8776328560916,55.8537868858778,57.0510445771448,61.8237161075173,"0.442675736961451,0.694104308390023,0.717845804988662,0.672131519274377,0.524149659863945",0.4699512193176965,Major,C#,1,1.1414434877964506,0.1656342810394777,0.4536053992430535,major,C#,F#,minor,0.721419639452581,F# minor
1719,187,2,imitation_chain,395.0,105.0,48.9587906556269,41.5848145615862,45.054596470158,47.6913370705042,49.7466407613386,"0.77249433106576,0.467551020408163,0.597800453514739,0.58814058956916,0.576553287981859",0.6678505457030606,Major,A,9,1.0037885336667016,0.1980197389200567,0.6611688537034729,major,D,D,major,0.4779753371209963,D major
1976,187,3,imitation_chain,996.0,115.0,61.4452762844161,54.7651957394455,57.6585331110283,59.9175735193371,61.7642812988656,"0.604852607709751,0.624761904761905,0.582176870748299,0.604399092970522,0.905918367346939",0.4756767222898771,Minor,A#,10,1.001525647961726,0.1809294811261261,0.4601854827410572,minor,a#,G,minor,0.6396778276486764,G minor
2199,187,4,imitation_chain,1118.0,130.0,61.5919910911095,54.7245600575335,57.6287276780628,59.3930948896722,61.7465591618867,"0.559183673469388,0.510498866213152,0.535056689342403,0.570430839002268,0.893718820861678",0.6303302465973655,Minor,D,2,1.1584108629880887,0.1977051188787754,0.6386450707593099,minor,d,G,major,0.6390786433593687,G major
3207,187,5,imitation_chain,1217.0,212.0,61.6156818998763,54.5255019125986,57.9003116899291,59.621127889515,61.3970194735401,"0.52437641723356,0.545328798185941,0.534648526077097,0.581315192743764,0.628208616780045",0.5450127268173922,Minor,A#,10,1.2727934635367286,0.2196772679768546,0.5318833903876072,minor,a#,G,minor,0.6396778276486764,G minor
3502,187,6,imitation_chain,1577.0,228.0,51.8301794749233,43.5327911623367,45.2142667248543,46.7786976394441,49.5843395221234,"0.600249433106576,0.607052154195011,0.60827664399093,0.552244897959184,0.634240362811791",0.7895530529393946,Major,A,9,1.1076581563756804,0.1808281743886433,0.7749171993418538,major,A,E,major,0.6102667704374697,E major
3779,187,7,imitation_chain,1716.0,258.0,50.8945068189969,40.8093855897622,43.3415893708378,44.9836327299594,46.7668329025706,"0.490884353741497,0.49687074829932,0.469410430839002,0.482086167800453,0.540612244897959",0.4151085978498074,Major,G,7,1.201274066899575,0.1497633907101599,0.3718146889444281,major,G,C,minor,0.2805175149678046,C minor
3797,187,8,imitation_chain,1798.0,259.0,59.4593817493283,54.0738691853878,62.359407101331,53.0068874197923,58.1512292694226,"0.592675736961451,0.59047619047619,0.61671201814059,0.689319727891157,0.54609977324263",0.6167127733539596,Minor,B,11,1.3470354622759897,0.2086905188297033,0.625160989789349,minor,b,B-,major,0.37695309210821354,B- major
4638,187,9,imitation_chain,1804.0,320.0,49.5626015472851,44.5224930125195,56.6216685192666,42.275927644741,47.39482851646,"0.519546485260771,0.446938775510204,0.545170068027211,0.491383219954649,1.09290249433107",0.730321468497915,Major,D,2,1.171543936298452,0.1862034764812944,0.7272530805102388,major,D,D,major,0.766211435110519,D major
